SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200603,982345100,WISH,772.0,WRIGHT INVESTORS' SERVICE HOLD,0.44
20200604,982345100,WISH,1086.0,WRIGHT INVESTORS' SERVICE HOLD,0.37
20200605,982345100,WISH,1285.0,WRIGHT INVESTORS' SERVICE HOLD,0.42
20200612,982345100,WISH,656.0,WRIGHT INVESTORS' SERVICE HOLD,0.49
20200616,982345100,WISH,14486.0,WRIGHT INVESTORS' SERVICE HOLD,0.47
20200617,982345100,WISH,14386.0,WRIGHT INVESTORS' SERVICE HOLD,0.47
20200629,982345100,WISH,66.0,WRIGHT INVESTORS' SERVICE HOLD,0.45
20200701,982345100,WISH,2561.0,WRIGHT INVESTORS' SERVICE HOLD,0.47
20200702,982345100,WISH,955.0,WRIGHT INVESTORS' SERVICE HOLD,0.44
20200706,982345100,WISH,211.0,WRIGHT INVESTORS' SERVICE HOLD,0.47
20200713,982345100,WISH,1039.0,WRIGHT INVESTORS' SERVICE HOLD,0.45
20200721,982345100,WISH,3301.0,WRIGHT INVESTORS' SERVICE HOLD,0.48
20200722,982345100,WISH,14211.0,WRIGHT INVESTORS' SERVICE HOLD,0.43
20200803,982345100,WISH,2465.0,WRIGHT INVESTORS' SERVICE HOLD,0.42
20200804,982345100,WISH,2465.0,WRIGHT INVESTORS' SERVICE HOLD,0.48
20200805,982345100,WISH,2190.0,WRIGHT INVESTORS' SERVICE HOLD,0.48
20200806,982345100,WISH,2090.0,WRIGHT INVESTORS' SERVICE HOLD,0.5
20200810,982345100,WISH,126.0,WRIGHT INVESTORS' SERVICE HOLD,0.43
20200811,982345100,WISH,1586.0,WRIGHT INVESTORS' SERVICE HOLD,0.43
20200812,982345100,WISH,1586.0,WRIGHT INVESTORS' SERVICE HOLD,0.43
20200813,982345100,WISH,1586.0,WRIGHT INVESTORS' SERVICE HOLD,0.4
20201218,21077C107,WISH,1044365.0,CONTEXTLOGIC INC COM CL A,22.27
20201222,21077C107,WISH,14370.0,CONTEXTLOGIC INC COM CL A,23.15
20201223,21077C107,WISH,6680.0,CONTEXTLOGIC INC COM CL A,22.19
20201224,21077C107,WISH,2334.0,CONTEXTLOGIC INC COM CL A,20.94
20201229,21077C107,WISH,540.0,CONTEXTLOGIC INC COM CL A,19.61
20201230,21077C107,WISH,15.0,CONTEXTLOGIC INC COM CL A,18.64
20201231,21077C107,WISH,88251.0,CONTEXTLOGIC INC COM CL A,17.58
20210104,21077C107,WISH,651998.0,CONTEXTLOGIC INC COM CL A,18.24
20210105,21077C107,WISH,491083.0,CONTEXTLOGIC INC COM CL A,19.24
20210106,21077C107,WISH,94100.0,CONTEXTLOGIC INC COM CL A,19.8
20210107,21077C107,WISH,83354.0,CONTEXTLOGIC INC COM CL A,20.82
20210108,21077C107,WISH,177041.0,CONTEXTLOGIC INC COM CL A,20.93
20210111,21077C107,WISH,87844.0,CONTEXTLOGIC INC COM CL A,20.36
20210112,21077C107,WISH,35398.0,CONTEXTLOGIC INC COM CL A,19.61
20210113,21077C107,WISH,150829.0,CONTEXTLOGIC INC COM CL A,20.94
20210114,21077C107,WISH,206605.0,CONTEXTLOGIC INC COM CL A,23.92
20210115,21077C107,WISH,52903.0,CONTEXTLOGIC INC COM CL A,28.13
20210119,21077C107,WISH,187756.0,CONTEXTLOGIC INC COM CL A,24.84
20210120,21077C107,WISH,2515.0,CONTEXTLOGIC INC COM CL A,26.09
20210121,21077C107,WISH,7231.0,CONTEXTLOGIC INC COM CL A,25.85
20210122,21077C107,WISH,23625.0,CONTEXTLOGIC INC COM CL A,24.84
20210125,21077C107,WISH,40278.0,CONTEXTLOGIC INC COM CL A,24.75
20210127,21077C107,WISH,10429.0,CONTEXTLOGIC INC COM CL A,27.1
20210128,21077C107,WISH,30296.0,CONTEXTLOGIC INC COM CL A,29.99
20210129,21077C107,WISH,12527.0,CONTEXTLOGIC INC COM CL A,28.45
20210201,21077C107,WISH,333.0,CONTEXTLOGIC INC COM CL A,30.07
20210202,21077C107,WISH,23818.0,CONTEXTLOGIC INC COM CL A,31.19
20210203,21077C107,WISH,33969.0,CONTEXTLOGIC INC COM CL A,29.15
20210204,21077C107,WISH,110700.0,CONTEXTLOGIC INC COM CL A,28.99
20210205,21077C107,WISH,119066.0,CONTEXTLOGIC INC COM CL A,29.3
20210208,21077C107,WISH,29096.0,CONTEXTLOGIC INC COM CL A,28.6
20210210,21077C107,WISH,3460.0,CONTEXTLOGIC INC COM CL A,29.53
20210211,21077C107,WISH,8018.0,CONTEXTLOGIC INC COM CL A,28.68
20210216,21077C107,WISH,30155.0,CONTEXTLOGIC INC COM CL A,27.45
20210217,21077C107,WISH,743.0,CONTEXTLOGIC INC COM CL A,26.56
20210218,21077C107,WISH,965.0,CONTEXTLOGIC INC COM CL A,24.15
20210219,21077C107,WISH,3317.0,CONTEXTLOGIC INC COM CL A,22.24
20210222,21077C107,WISH,90875.0,CONTEXTLOGIC INC COM CL A,22.26
20210223,21077C107,WISH,8656943.0,CONTEXTLOGIC INC COM CL A,22.01
20210224,21077C107,WISH,8953209.0,CONTEXTLOGIC INC COM CL A,21.17
20210225,21077C107,WISH,8927231.0,CONTEXTLOGIC INC COM CL A,20.42
20210226,21077C107,WISH,8851764.0,CONTEXTLOGIC INC COM CL A,18.97
20210301,21077C107,WISH,8770739.0,CONTEXTLOGIC INC COM CL A,19.61
20210302,21077C107,WISH,100.0,CONTEXTLOGIC INC COM CL A,19.58
20210303,21077C107,WISH,41482.0,CONTEXTLOGIC INC COM CL A,18.82
20210308,21077C107,WISH,70340.0,CONTEXTLOGIC INC COM CL A,17.77
20210309,21077C107,WISH,68185.0,CONTEXTLOGIC INC COM CL A,15.94
20210311,21077C107,WISH,21519.0,CONTEXTLOGIC INC COM CL A,16.63
20210315,21077C107,WISH,60778.0,CONTEXTLOGIC INC COM CL A,18.64
20210316,21077C107,WISH,95856.0,CONTEXTLOGIC INC COM CL A,19.11
20210317,21077C107,WISH,1231.0,CONTEXTLOGIC INC COM CL A,18.34
20210318,21077C107,WISH,1407.0,CONTEXTLOGIC INC COM CL A,18.84
20210319,21077C107,WISH,23227.0,CONTEXTLOGIC INC COM CL A,17.26
20210322,21077C107,WISH,96746.0,CONTEXTLOGIC INC COM CL A,17.86
20210323,21077C107,WISH,34229.0,CONTEXTLOGIC INC COM CL A,17.98
20210324,21077C107,WISH,186295.0,CONTEXTLOGIC INC COM CL A,16.56
20210329,21077C107,WISH,5863.0,CONTEXTLOGIC INC COM CL A,16.21
20210330,21077C107,WISH,27682.0,CONTEXTLOGIC INC COM CL A,15.26
20210331,21077C107,WISH,98552.0,CONTEXTLOGIC INC COM CL A,15.1
20210401,21077C107,WISH,155772.0,CONTEXTLOGIC INC COM CL A,15.8
20210405,21077C107,WISH,143412.0,CONTEXTLOGIC INC COM CL A,15.65
20210406,21077C107,WISH,203480.0,CONTEXTLOGIC INC COM CL A,15.32
20210407,21077C107,WISH,25165.0,CONTEXTLOGIC INC COM CL A,15.52
20210408,21077C107,WISH,26757.0,CONTEXTLOGIC INC COM CL A,14.33
20210409,21077C107,WISH,373464.0,CONTEXTLOGIC INC COM CL A,14.08
20210412,21077C107,WISH,241886.0,CONTEXTLOGIC INC COM CL A,13.65
