SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200601,98138J206,WKHS,57395.0,WORKHORSE GROUP INC,2.48
20200602,98138J206,WKHS,69261.0,WORKHORSE GROUP INC,2.63
20200603,98138J206,WKHS,8518.0,WORKHORSE GROUP INC,2.73
20200604,98138J206,WKHS,9168.0,WORKHORSE GROUP INC,2.95
20200605,98138J206,WKHS,23.0,WORKHORSE GROUP INC,3.24
20200608,98138J206,WKHS,1824.0,WORKHORSE GROUP INC,3.19
20200610,98138J206,WKHS,171208.0,WORKHORSE GROUP INC,3.74
20200611,98138J206,WKHS,225062.0,WORKHORSE GROUP INC,4.05
20200612,98138J206,WKHS,42962.0,WORKHORSE GROUP INC,3.42
20200615,98138J206,WKHS,7107.0,WORKHORSE GROUP INC,3.78
20200616,98138J206,WKHS,10257.0,WORKHORSE GROUP INC,4.24
20200617,98138J206,WKHS,57191.0,WORKHORSE GROUP INC,4.4
20200618,98138J206,WKHS,1265.0,WORKHORSE GROUP INC,4.14
20200619,98138J206,WKHS,63403.0,WORKHORSE GROUP INC,4.54
20200622,98138J206,WKHS,54895.0,WORKHORSE GROUP INC,4.88
20200623,98138J206,WKHS,295778.0,WORKHORSE GROUP INC,5.92
20200625,98138J206,WKHS,36690.0,WORKHORSE GROUP INC,8.51
20200626,98138J206,WKHS,785926.0,WORKHORSE GROUP INC,8.56
20200629,98138J206,WKHS,1624530.0,WORKHORSE GROUP INC,9.9
20200630,98138J206,WKHS,443134.0,WORKHORSE GROUP INC,14.51
20200701,98138J206,WKHS,124329.0,WORKHORSE GROUP INC,17.39
20200702,98138J206,WKHS,784376.0,WORKHORSE GROUP INC,19.18
20200706,98138J206,WKHS,229841.0,WORKHORSE GROUP INC,20.91
20200707,98138J206,WKHS,209236.0,WORKHORSE GROUP INC,17.61
20200708,98138J206,WKHS,113295.0,WORKHORSE GROUP INC,16.85
20200709,98138J206,WKHS,145000.0,WORKHORSE GROUP INC,16.66
20200710,98138J206,WKHS,131778.0,WORKHORSE GROUP INC,16.06
20200713,98138J206,WKHS,37460.0,WORKHORSE GROUP INC,15.18
20200714,98138J206,WKHS,503323.0,WORKHORSE GROUP INC,15.44
20200715,98138J206,WKHS,71193.0,WORKHORSE GROUP INC,16.5
20200716,98138J206,WKHS,98046.0,WORKHORSE GROUP INC,16.34
20200717,98138J206,WKHS,1200.0,WORKHORSE GROUP INC,15.83
20200720,98138J206,WKHS,38304.0,WORKHORSE GROUP INC,14.93
20200721,98138J206,WKHS,6036.0,WORKHORSE GROUP INC,16.32
20200722,98138J206,WKHS,319020.0,WORKHORSE GROUP INC,16.09
20200723,98138J206,WKHS,51916.0,WORKHORSE GROUP INC,16.41
20200727,98138J206,WKHS,5080.0,WORKHORSE GROUP INC,15.15
20200729,98138J206,WKHS,1088.0,WORKHORSE GROUP INC,16.1
20200731,98138J206,WKHS,264.0,WORKHORSE GROUP INC,16.42
20200803,98138J206,WKHS,176.0,WORKHORSE GROUP INC,15.52
20200804,98138J206,WKHS,1000.0,WORKHORSE GROUP INC,19.18
20200805,98138J206,WKHS,151442.0,WORKHORSE GROUP INC,17.17
20200807,98138J206,WKHS,17109.0,WORKHORSE GROUP INC,16.64
20200811,98138J206,WKHS,28827.0,WORKHORSE GROUP INC,15.27
20200812,98138J206,WKHS,341719.0,WORKHORSE GROUP INC,15.31
20200813,98138J206,WKHS,2988.0,WORKHORSE GROUP INC,15.41
20200814,98138J206,WKHS,536293.0,WORKHORSE GROUP INC,15.21
20200817,98138J206,WKHS,16070.0,WORKHORSE GROUP INC,15.27
20200818,98138J206,WKHS,349815.0,WORKHORSE GROUP INC,15.61
20200819,98138J206,WKHS,55078.0,WORKHORSE GROUP INC,16.76
20200820,98138J206,WKHS,791559.0,WORKHORSE GROUP INC,16.41
