SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20200923,98422D105,XPEV,467153.0,XPENG INC.ADS,19.31
20200924,98422D105,XPEV,47866.0,XPENG INC.ADS,18.41
20200930,98422D105,XPEV,166.0,XPENG INC.ADS,18.78
20201007,98422D105,XPEV,4397.0,XPENG INC.ADS,19.7
20201009,98422D105,XPEV,383140.0,XPENG INC.ADS,19.86
20201015,98422D105,XPEV,70405.0,XPENG INC.ADS,22.05
20201019,98422D105,XPEV,7477.0,XPENG INC.ADS,21.77
20201020,98422D105,XPEV,167200.0,XPENG INC.ADS,19.84
20201022,98422D105,XPEV,5794.0,XPENG INC.ADS,20.42
20201026,98422D105,XPEV,51015.0,XPENG INC.ADS,20.05
20201028,98422D105,XPEV,22882.0,XPENG INC.ADS,19.9
20201029,98422D105,XPEV,50319.0,XPENG INC.ADS,19.02
20201030,98422D105,XPEV,20050.0,XPENG INC.ADS,20.72
20201102,98422D105,XPEV,518.0,XPENG INC.ADS,19.38
20201104,98422D105,XPEV,24662.0,XPENG INC.ADS,22.21
20201109,98422D105,XPEV,568075.0,XPENG INC.ADS,34.81
20201110,98422D105,XPEV,846238.0,XPENG INC.ADS,34.07
20201112,98422D105,XPEV,270673.0,XPENG INC.ADS,33.53
20201113,98422D105,XPEV,458099.0,XPENG INC.ADS,44.73
20201116,98422D105,XPEV,749230.0,XPENG INC.ADS,41.99
20201117,98422D105,XPEV,171.0,XPENG INC.ADS,44.1
20201118,98422D105,XPEV,3520.0,XPENG INC.ADS,42.91
20201119,98422D105,XPEV,62008.0,XPENG INC.ADS,42.18
20201120,98422D105,XPEV,103868.0,XPENG INC.ADS,48.11
20201123,98422D105,XPEV,7343.0,XPENG INC.ADS,53.89
20201124,98422D105,XPEV,359263.0,XPENG INC.ADS,72.17
20201125,98422D105,XPEV,552971.0,XPENG INC.ADS,70.63
20201127,98422D105,XPEV,609599.0,XPENG INC.ADS,64.27
20201130,98422D105,XPEV,17638.0,XPENG INC.ADS,64.28
20201201,98422D105,XPEV,19624.0,XPENG INC.ADS,58.76
20201202,98422D105,XPEV,40879.0,XPENG INC.ADS,52.36
20201204,98422D105,XPEV,552275.0,XPENG INC.ADS,51.82
20201207,98422D105,XPEV,294401.0,XPENG INC.ADS,49.34
20201208,98422D105,XPEV,326650.0,XPENG INC.ADS,48.3
20201209,98422D105,XPEV,251776.0,XPENG INC.ADS,48.69
20201210,98422D105,XPEV,611475.0,XPENG INC.ADS,44.65
20201211,98422D105,XPEV,68049.0,XPENG INC.ADS,44.8
20201215,98422D105,XPEV,65025.0,XPENG INC.ADS,47.17
20201216,98422D105,XPEV,581276.0,XPENG INC.ADS,49.49
20201217,98422D105,XPEV,271572.0,XPENG INC.ADS,47.4
20201218,98422D105,XPEV,7200.0,XPENG INC.ADS,46.38
20201221,98422D105,XPEV,1079.0,XPENG INC.ADS,46.38
20201222,98422D105,XPEV,9629.0,XPENG INC.ADS,46.97
20201224,98422D105,XPEV,312390.0,XPENG INC.ADS,43.8
20201228,98422D105,XPEV,18584.0,XPENG INC.ADS,41.87
20201229,98422D105,XPEV,24712.0,XPENG INC.ADS,38.01
20201230,98422D105,XPEV,165058.0,XPENG INC.ADS,41.55
20210104,98422D105,XPEV,47242.0,XPENG INC.ADS,42.83
20210105,98422D105,XPEV,114813.0,XPENG INC.ADS,44.1
20210107,98422D105,XPEV,37400.0,XPENG INC.ADS,41.23
20210108,98422D105,XPEV,9913.0,XPENG INC.ADS,44.99
20210111,98422D105,XPEV,42424.0,XPENG INC.ADS,45.45
20210112,98422D105,XPEV,48482.0,XPENG INC.ADS,44.36
20210114,98422D105,XPEV,16641.0,XPENG INC.ADS,51.66
20210115,98422D105,XPEV,187325.0,XPENG INC.ADS,50.31
20210119,98422D105,XPEV,95498.0,XPENG INC.ADS,47.82
20210120,98422D105,XPEV,39067.0,XPENG INC.ADS,53.84
20210121,98422D105,XPEV,291988.0,XPENG INC.ADS,52.46
20210126,98422D105,XPEV,24297.0,XPENG INC.ADS,54.65
20210129,98422D105,XPEV,3512.0,XPENG INC.ADS,50.16
20210202,98422D105,XPEV,2929.0,XPENG INC.ADS,49.27
20210204,98422D105,XPEV,51380.0,XPENG INC.ADS,47.52
20210205,98422D105,XPEV,161201.0,XPENG INC.ADS,48.13
20210208,98422D105,XPEV,15802.0,XPENG INC.ADS,46.93
20210209,98422D105,XPEV,49.0,XPENG INC.ADS,47.61
20210210,98422D105,XPEV,120605.0,XPENG INC.ADS,48.75
20210211,98422D105,XPEV,499910.0,XPENG INC.ADS,47.77
20210212,98422D105,XPEV,5596.0,XPENG INC.ADS,47.13
20210216,98422D105,XPEV,148751.0,XPENG INC.ADS,46.89
20210217,98422D105,XPEV,13919.0,XPENG INC.ADS,45.01
20210218,98422D105,XPEV,30833.0,XPENG INC.ADS,43.41
20210219,98422D105,XPEV,148948.0,XPENG INC.ADS,41.15
20210222,98422D105,XPEV,25183.0,XPENG INC.ADS,40.88
20210223,98422D105,XPEV,121671.0,XPENG INC.ADS,38.0
20210224,98422D105,XPEV,180318.0,XPENG INC.ADS,37.91
20210225,98422D105,XPEV,294610.0,XPENG INC.ADS,38.71
20210226,98422D105,XPEV,154980.0,XPENG INC.ADS,35.4
20210301,98422D105,XPEV,2921803.0,XPENG INC.ADS,34.11
20210303,98422D105,XPEV,412.0,XPENG INC.ADS,31.5
20210304,98422D105,XPEV,832.0,XPENG INC.ADS,30.03
20210305,98422D105,XPEV,1653492.0,XPENG INC.ADS,29.36
20210308,98422D105,XPEV,1329405.0,XPENG INC.ADS,28.03
20210310,98422D105,XPEV,225349.0,XPENG INC.ADS,29.97
20210315,98422D105,XPEV,593.0,XPENG INC.ADS,35.15
20210316,98422D105,XPEV,899.0,XPENG INC.ADS,35.37
20210317,98422D105,XPEV,11157.0,XPENG INC.ADS,35.93
20210318,98422D105,XPEV,115077.0,XPENG INC.ADS,36.12
20210319,98422D105,XPEV,3156.0,XPENG INC.ADS,35.0
20210322,98422D105,XPEV,197108.0,XPENG INC.ADS,37.48
20210323,98422D105,XPEV,251768.0,XPENG INC.ADS,37.88
20210324,98422D105,XPEV,61623.0,XPENG INC.ADS,36.33
20210326,98422D105,XPEV,1572.0,XPENG INC.ADS,32.53
20210330,98422D105,XPEV,900.0,XPENG INC.ADS,31.41
20210331,98422D105,XPEV,114876.0,XPENG INC.ADS,33.82
20210405,98422D105,XPEV,55278.0,XPENG INC.ADS,36.95
20210406,98422D105,XPEV,103533.0,XPENG INC.ADS,36.01
20210407,98422D105,XPEV,264878.0,XPENG INC.ADS,37.01
20210408,98422D105,XPEV,163773.0,XPENG INC.ADS,34.07
20210409,98422D105,XPEV,211604.0,XPENG INC.ADS,35.45
20210412,98422D105,XPEV,186654.0,XPENG INC.ADS,34.49
20210414,98422D105,XPEV,1294.0,XPENG INC.ADS,35.48
20210415,98422D105,XPEV,16497.0,XPENG INC.ADS,32.89
20210419,98422D105,XPEV,89912.0,XPENG INC.ADS,30.92
20210421,98422D105,XPEV,2678.0,XPENG INC.ADS,31.27
20210423,98422D105,XPEV,316.0,XPENG INC.ADS,32.37
20210426,98422D105,XPEV,5486.0,XPENG INC.ADS,33.3
20210429,98422D105,XPEV,29109.0,XPENG INC.ADS,31.69
20210430,98422D105,XPEV,40721.0,XPENG INC.ADS,30.52
20210503,98422D105,XPEV,670.0,XPENG INC.ADS,29.91
20210506,98422D105,XPEV,2478.0,XPENG INC.ADS,27.99
20210510,98422D105,XPEV,268.0,XPENG INC.ADS,26.69
20210511,98422D105,XPEV,2529.0,XPENG INC.ADS,25.46
20210514,98422D105,XPEV,18028.0,XPENG INC.ADS,23.56
20210517,98422D105,XPEV,1074111.0,XPENG INC.ADS,25.7
20210518,98422D105,XPEV,13909.0,XPENG INC.ADS,26.12
20210519,98422D105,XPEV,111117.0,XPENG INC.ADS,27.32
20210520,98422D105,XPEV,322522.0,XPENG INC.ADS,27.64
20210524,98422D105,XPEV,316205.0,XPENG INC.ADS,28.58
20210525,98422D105,XPEV,8358.0,XPENG INC.ADS,29.13
20210526,98422D105,XPEV,12717.0,XPENG INC.ADS,29.38
20210528,98422D105,XPEV,6069.0,XPENG INC.ADS,32.39
20210601,98422D105,XPEV,10107.0,XPENG INC.ADS,32.13
20210602,98422D105,XPEV,38710.0,XPENG INC.ADS,34.60
20210603,98422D105,XPEV,6340.0,XPENG INC.ADS,35.00
20210604,98422D105,XPEV,69532.0,XPENG INC.ADS,35.95
20210608,98422D105,XPEV,7600.0,XPENG INC.ADS,38.36
20210610,98422D105,XPEV,2937.0,XPENG INC.ADS,38.07
20210611,98422D105,XPEV,178506.0,XPENG INC.ADS,38.61
20210614,98422D105,XPEV,1622.0,XPENG INC.ADS,41.50
