Rank,Stock,Ticker,Type,Quantity,Market Value,% Portfolio,Previous % Portfolio,Change,% Change,Change Type,% Ownership,Sector,Source Type,Source Date,Avg Price
1,APPLE INC,AAPL,N/A,887135554,1.08364E+11,40.0701,43.6095,0,0,N/A,5.2843131,INFORMATION TECHNOLOGY,13F,03/31/2021,37.32
2,BANK OF AMERICA CORP. (NORTH CAROLINA NATIONAL BANK),BAC,N/A,1010100606,39080793000,14.4511,11.3424,0,0,N/A,11.7082536,FINANCE,13F,03/31/2021,26.14
3,AMERICAN EXPRESS CO,AXP,N/A,151610700,21443817000,7.9294,6.7912,0,0,N/A,18.8706464,FINANCE,13F,03/31/2021,36.15
4,COCA COLA CO.,KO,N/A,400000000,21083999000,7.7963,8.1266,0,0,N/A,9.2822249,CONSUMER STAPLES,13F,03/31/2021,11.29
5,KRAFT HEINZ CO. (THE),KHC,N/A,325634818,13025393000,4.8165,4.1813,0,0,N/A,26.6220794,CONSUMER STAPLES,13F,03/31/2021,70.58
6,VERIZON COMMUNICATIONS (BELL ATLANTIC CORP.),VZ,N/A,158824575,9235649000,3.4151,3.1933,12108079,8.252705,ADDITION,3.8380588,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,58.7043
7,MOODYS CORP,MCO,N/A,24669778,7366643000,2.724,2.6526,0,0,N/A,13.1818355,FINANCE,13F,03/31/2021,6.89
8,U.S. BANCORP (FIRST NATIONAL BANK OF CINCINNATI),USB,N/A,129687084,7172993000,2.6524,2.2635,-1450914,-1.106402,REDUCTION,8.630995,FINANCE,13F,03/31/2021,39.96
9,DAVITA HEALTHCARE PARTNERS INC,DVA,N/A,36095570,3890020000,1.4384,1.5699,0,0,N/A,32.9941225,HEALTH CARE,13F,03/31/2021,45.92
10,GENERAL MOTORS CO,GM,N/A,67000000,3849820000,1.4236,1.1184,-5500000,-7.586207,REDUCTION,4.6498302,CONSUMER DISCRETIONARY,13F,03/31/2021,31.83
11,BANK OF NEW YORK MELLON CORP,BK,N/A,72357453,3421785000,1.2653,1.1377,0,0,N/A,8.2510219,FINANCE,13F,03/31/2021,43.91
12,CHARTER COMMUNICATIONS INC,CHTR,N/A,5213461,3216810000,1.1895,1.2777,0,0,N/A,2.4217894,COMMUNICATIONS,13F,03/31/2021,165.14
13,VERISIGN INC.,VRSN,N/A,12815613,2547231000,0.9419,1.0274,0,0,N/A,11.3312228,COMMUNICATIONS,13F,03/31/2021,44.87
14,CHEVRON CORP. (STANDARD OIL OF CALIFORNIA),CVX,N/A,23672271,2480617000,0.9173,1.5173,-24826694,-51.190152,REDUCTION,1.2288495,ENERGY,13F,03/31/2021,84.45
15,ABBVIE INC,ABBV,N/A,22868178,2474794000,0.9151,1.0136,-2664904,-10.437064,REDUCTION,1.2957723,HEALTH CARE,13F,03/31/2021,90.86
16,VISA INC,V,N/A,9987460,2114645000,0.7819,0.8093,0,0,N/A,0.5888438,FINANCE,13F,03/31/2021,13.47
17,BRISTOL-MYERS SQUIBB CO,BMY,N/A,31032227,1959064000,0.7244,0.7661,-2303789,-6.910811,REDUCTION,1.3891329,HEALTH CARE,13F,03/31/2021,60.47
18,LIBERTY SIRIUS XM GROUP  SERIES C,LSXMK,N/A,43208291,1905918000,0.7048,0.6965,0,0,N/A,18.863572,COMMUNICATIONS,13F,03/31/2021,33.41
19,KROGER CO.,KR,N/A,51060296,1837660000,0.6795,0.3946,17526279,52.26418,ADDITION,6.7065471,CONSUMER STAPLES,13F,03/31/2021,32.437
20,AMAZON.COM INC.,AMZN,N/A,533300,1650073000,0.6102,0.6435,0,0,N/A,0.105905,CONSUMER DISCRETIONARY,13F,03/31/2021,1792.09
21,MASTERCARD INC,MA,N/A,4564756,1625281000,0.601,0.6036,0,0,N/A,0.4633579,FINANCE,13F,03/31/2021,22.09
22,SNOWFLAKE  INC.,SNOW,N/A,6125376,1404426000,0.5193,0.6386,0,0,N/A,12.0816095,INFORMATION TECHNOLOGY,13F,03/31/2021,251
23,MERCK & CO,MRK,N/A,18740742.62,1378553000,0.5098,0.8697,-11334169.26,-37.686459,REDUCTION,0.7067256,HEALTH CARE,13F,03/31/2021,82.7
24,RH COMMON STOCK,RH,N/A,1756448,1047897000,0.3875,0.2872,23900,1.379471,ADDITION,8.6094353,CONSUMER DISCRETIONARY,13F,03/31/2021,192.5932
25,AON PLC,AON,N/A,4096146,942564000,0.3485,N/A,4096146,N/A,NEW,1.8125795,FINANCE,13F,03/31/2021,230.11
26,STORE CAPITAL CORP,STOR,N/A,24415168,817909000,0.3024,0.3074,0,0,N/A,9.1605539,REAL ESTATE,13F,03/31/2021,22.77
27,T-MOBILE US INC,TMUS,N/A,5242000,656770000,0.2429,0.2619,0,0,N/A,0.4217881,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,125.42
28,LIBERTY SIRIUS XM GROUP  SERIES A,LSXMA,N/A,14860360,655045000,0.2422,0.2378,0,0,N/A,14.9815661,COMMUNICATIONS,13F,03/31/2021,33.62
29,STONECO LTD,STNE,N/A,10695448,654775000,0.2421,0.4404,-3471300,-24.503153,REDUCTION,5.9857541,FINANCE,13F,03/31/2021,18.44
30,MARSH & MCLENNAN COMPANIES  INC.,MMC,N/A,5287526,644021000,0.2381,0.185,1019701,23.892756,ADDITION,1.0404695,FINANCE,13F,03/31/2021,117.9257
31,GLOBE LIFE INC,GL,N/A,6353727,613961000,0.227,0.2235,0,0,N/A,5.4800622,FINANCE,13F,03/31/2021,8.55
32,TEVA PHARMACEUTICAL INDUSTRIES LTD  ADR,TEVA,N/A,42789295,493789000,0.1826,0.153,0,0,N/A,3.9177555,HEALTH CARE,13F,03/31/2021,18.36
33,AXALTA COATING SYSTEMS LTD,AXTA,N/A,13887037,410779000,0.1519,0.2477,-9532963,-40.704368,REDUCTION,5.9354423,MATERIALS,13F,03/31/2021,31.92
34,SIRIUS XM HOLDINGS INC,SIRI,N/A,43658800,265882000,0.0983,0.118,-6341200,-12.6824,REDUCTION,1.0545657,COMMUNICATIONS,13F,03/31/2021,4.47
35,LIBERTY GLOBAL PLC CLASS C,LBTYK,N/A,7346968,187642000,0.0694,0.0644,0,0,N/A,1.9157883,COMMUNICATIONS,13F,03/31/2021,40.71
36,BIOGEN INC,BIIB,N/A,643022,179885000,0.0665,0.0583,0,0,N/A,0.4221085,HEALTH CARE,13F,03/31/2021,296.73
37,LIBERTY GLOBAL PLC CLASS A,LBTYA,N/A,3359831,86213000,0.0319,0.1616,-14650169,-81.344636,REDUCTION,1.8526241,COMMUNICATIONS,13F,03/31/2021,38.69
38,JOHNSON & JOHNSON CO.,JNJ,N/A,327100,53759000,0.0199,0.0191,0,0,N/A,0.0124245,HEALTH CARE,13F,03/31/2021,59.44
39,PROCTER & GAMBLE CO. (OH) (1905),PG,N/A,315400,42715000,0.0158,0.0163,0,0,N/A,0.0128082,CONSUMER STAPLES,13F,03/31/2021,58.09
40,MONDELEZ INTERNATIONAL INC. (KRAFT FOODS),MDLZ,N/A,578000,33830000,0.0125,0.0125,0,0,N/A,0.0409315,CONSUMER STAPLES,13F,03/31/2021,22.84
41,LIBERTY LATIN AMERICA LTD CLASS A,LILA,N/A,2630792,33753000,0.0125,0.0108,0,0,N/A,5.3677544,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,30.66
42,WELLS FARGO & CO.  (NORTHWEST BANCORPORATION),WFC,N/A,675054,26374000,0.0098,0.5861,-51748813,-98.712316,REDUCTION,0.0163287,FINANCE,13F,03/31/2021,25.18
43,LIBERTY LATIN AMERICA LTD CLASS C,LILAK,N/A,1284020,16667000,0.0062,0.0053,0,0,N/A,0.7088982,COMMUNICATIONS,13F,03/31/2021,28.72
44,VANGUARD S&P 500 ETF,VOO,N/A,43000,15665000,0.0058,0.0055,0,0,N/A,NO DATA,FINANCE,13F,03/31/2021,295.8
45,SPDR S&P 500 ETF TRUST,SPY,N/A,39400,15615000,0.0058,0.0055,0,0,N/A,NO DATA,FINANCE,13F,03/31/2021,321.86
46,UNITED PARCEL SERVICE  INC. CLASS B,UPS,N/A,59400,10097000,0.0037,0.0037,0,0,N/A,0.0082557,TRANSPORTS,13F,03/31/2021,79.38
47,SUNCOR ENERGY  INC.,SU,N/A,0,0,N/A,0.0861,-13849207,-100,SOLDALL,0,ENERGY,13F,03/31/2021,26.58
48,SYNCHRONY FINANCIAL,SYF,N/A,0,0,N/A,0.2588,-20128000,-100,SOLDALL,0,FINANCE,13F,03/31/2021,30.02
