Rank,Stock,Ticker,Type,Quantity,Market Value,% Portfolio,Previous % Portfolio,Change,% Change,Change Type,% Ownership,Sector,Source Type,Source Date,Avg Price
1,SPDR S&P 500 ETF TRUST,SPY,PUT,63835800.0,25300042000.0,6.19647,4.9419,13000300.0,25.573271,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
2,TESLA INC,TSLA,CALL,24465000.0,16340907000.0,4.0022,5.3028,-4436000.0,-15.34895,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
3,TESLA INC,TSLA,PUT,20683900.0,13815397000.0,3.38366,4.8189,-5579500.0,-21.244393,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
4,SPDR S&P 500 ETF TRUST,SPY,CALL,33296600.0,13196441000.0,3.23206,2.7111,5408100.0,19.391864,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
5,AMAZON.COM INC.,AMZN,CALL,3396300.0,10508424000.0,2.57372,4.1692,-1527000.0,-31.015782,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
6,INVESCO QQQ TRUST SERIES 1,QQQ,PUT,31041200.0,9906178000.0,2.42621,1.9552,7073500.0,29.512636,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
7,AMAZON.COM INC.,AMZN,PUT,3112700.0,9630943000.0,2.3588,3.1692,-629700.0,-16.826101,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
8,INVESCO QQQ TRUST SERIES 1,QQQ,CALL,20575400.0,6566227000.0,1.6082,0.9829,8525900.0,70.757293,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
9,APPLE INC,AAPL,CALL,39306400.0,4801277000.0,1.17593,1.4602,-3018300.0,-7.131297,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
10,ALPHABET INC. CLASS A,GOOGL,CALL,2162500.0,4460200000.0,1.09239,0.8361,327800.0,17.866681,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
11,APPLE INC,AAPL,PUT,32558300.0,3976997000.0,0.974044,0.8817,7003700.0,27.406807,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
12,ISHARES RUSSELL 2000 ETF,IWM,PUT,16944500.0,3743718000.0,0.916909,0.9211,-1124200.0,-6.221809,REDUCTION,NO DATA,FINANCE,13F,03/31/2021,N/A
13,ALPHABET INC. CLASS A,GOOGL,PUT,1672200.0,3448946000.0,0.844714,0.4442,697400.0,71.542881,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
14,FACEBOOK INC,FB,CALL,11424700.0,3364917000.0,0.824133,0.9926,-2551000.0,-18.253111,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
15,NVIDIA CORP.,NVDA,PUT,5408100.0,2887547000.0,0.707216,0.6375,712700.0,15.178686,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
16,FACEBOOK INC,FB,PUT,8788900.0,2588595000.0,0.633997,0.6536,-414000.0,-4.498582,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
17,ISHARES IBOXX $ HIGH YIELD CORP BOND ETF,HYG,PUT,28462300.0,2481343000.0,0.607729,0.4854,7075900.0,33.08598,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
18,ALIBABA GROUP HOLDING LTD ADR,BABA,CALL,10451400.0,2369646000.0,0.580372,0.7662,-2210500.0,-17.457885,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
19,ISHARES RUSSELL 2000 ETF,IWM,CALL,10710100.0,2366289000.0,0.57955,0.5506,-91600.0,-0.848015,REDUCTION,NO DATA,FINANCE,13F,03/31/2021,N/A
20,MICROSOFT CORP.,MSFT,CALL,9914900.0,2337636000.0,0.572532,0.6239,-872500.0,-8.08814,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
21,NVIDIA CORP.,NVDA,CALL,4345600.0,2320246000.0,0.568273,0.576,103100.0,2.430171,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
22,ALPHABET INC. CLASS C,GOOG,CALL,1115100.0,2306729000.0,0.564963,0.8313,-710000.0,-38.901978,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
23,NETFLIX INC,NFLX,CALL,4124100.0,2151378000.0,0.526914,0.592,-86400.0,-2.052013,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
24,NETFLIX INC,NFLX,PUT,4103200.0,2140475000.0,0.524244,0.5733,25300.0,0.620417,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
25,BOEING COMPANY,BA,CALL,8364200.0,2130529000.0,0.521808,0.4609,83300.0,1.005929,ADDITION,N/A,INDUSTRIALS,13F,03/31/2021,N/A
26,ALIBABA GROUP HOLDING LTD ADR,BABA,PUT,9221500.0,2090791000.0,0.512075,0.5559,34700.0,0.377716,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
27,ALPHABET INC. CLASS C,GOOG,PUT,993700.0,2055598000.0,0.503456,0.4543,-3600.0,-0.360975,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
28,ADVANCED MICRO DEVICES INC,AMD,PUT,25062700.0,1967422000.0,0.48186,0.3391,10843500.0,76.259565,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
29,BOEING COMPANY,BA,PUT,7474600.0,1903930000.0,0.466309,0.4037,221600.0,3.055287,ADDITION,N/A,INDUSTRIALS,13F,03/31/2021,N/A
30,MICROSOFT CORP.,MSFT,PUT,7738500.0,1824506000.0,0.446857,0.5575,-1901100.0,-19.721773,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
31,ADVANCED MICRO DEVICES INC,AMD,CALL,18242400.0,1432028000.0,0.350731,0.2877,6177100.0,51.197235,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
32,SHOPIFY INC,SHOP,PUT,1235500.0,1367081000.0,0.334825,0.2814,279500.0,29.236402,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
33,SALESFORCE.COM INC.,CRM,PUT,5772590.0,1223039000.0,0.299546,0.2655,1183550.0,25.790797,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
