Rank,Stock,Ticker,Type,Quantity,Market Value,% Portfolio,Previous % Portfolio,Change,% Change,Change Type,% Ownership,Sector,Source Type,Source Date,Avg Price
1,EXPEDIA GROUP INC,EXPE,N/A,5100000.0,877812000.0,4.97042,6.8684,-6827339.0,-57.241091,REDUCTION,3.6865400,CONSUMER DISCRETIONARY,13F,03/31/2021,80.43
2,MASTERCARD INC,MA,N/A,2000000.0,712100000.0,4.03211,4.8228,-1106561.0,-35.620128,REDUCTION,0.2030154,FINANCE,13F,03/31/2021,313.61
3,VISA INC,V,N/A,3300000.0,698709000.0,3.95629,3.4277,-303075.0,-8.411565,REDUCTION,0.1945624,FINANCE,13F,03/31/2021,192.21
4,ALPHABET INC. CLASS A,GOOGL,N/A,327000.0,674444000.0,3.81889,3.551,-138831.0,-29.802868,REDUCTION,0.1087329,COMMUNICATIONS,13F,03/31/2021,1581.41
5,VISA INC,V,CALL,3000000.0,635190000.0,3.59662,2.502,370000.0,14.068441,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
6,FAIR ISAAC CORP,FICO,N/A,1165000.0,566248000.0,3.20625,2.1671,190000.0,19.487179,ADDITION,3.9847983,INFORMATION TECHNOLOGY,13F,03/31/2021,378.9506
9,L BRANDS INC,LB,N/A,7975000.0,493334000.0,2.79339,3.1806,-11688640.0,-59.442911,REDUCTION,2.8675704,CONSUMER DISCRETIONARY,13F,03/31/2021,13.37
10,AMAZON.COM INC.,AMZN,N/A,125000.0,386760000.0,2.18994,1.2041,40000.0,47.058824,ADDITION,0.0248230,CONSUMER DISCRETIONARY,13F,03/31/2021,2206.8228
11,LABORATORY CORP OF AMERICA HOLDINGS,LH,N/A,1500000.0,382545000.0,2.16608,0.7658,635000.0,73.410405,ADDITION,1.5368852,HEALTH CARE,13F,03/31/2021,203.4529
12,NETFLIX INC,NFLX,N/A,700000.0,365162000.0,2.06765,0.9407,300000.0,75.0,ADDITION,0.1584445,COMMUNICATIONS,13F,03/31/2021,532.5571
13,MASTERCARD INC,MA,CALL,1000000.0,356050000.0,2.01605,3.3223,-1140000.0,-53.271028,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
14,UBER TECHNOLOGIES INC,UBER,CALL,6500000.0,354315000.0,2.00623,N/A,6500000.0,N/A,NEW,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
15,NUANCE COMMUNICATIONS  INC.,NUAN,N/A,8100000.0,353484000.0,2.00153,1.9061,-1839650.0,-18.508197,REDUCTION,2.8415066,INFORMATION TECHNOLOGY,13F,03/31/2021,31.83
16,FACEBOOK INC,FB,N/A,1200000.0,353436000.0,2.00125,5.5365,-3460041.0,-74.249154,REDUCTION,0.0498867,COMMUNICATIONS,13F,03/31/2021,273.16
17,SNOWFLAKE  INC.,SNOW,N/A,1525000.0,349652000.0,1.97983,N/A,1525000.0,N/A,NEW,3.0078895,INFORMATION TECHNOLOGY,13F,03/31/2021,229.28
18,LAS VEGAS SANDS CORP,LVS,N/A,5500000.0,334180000.0,1.89222,2.7375,-5060285.0,-47.918072,REDUCTION,0.7200178,CONSUMER DISCRETIONARY,13F,03/31/2021,50.13
19,IAC/INTERACTIVECORP,IAC,N/A,2284560.0,328791000.0,1.86171,0.2759,1781055.0,353.731343,ADDITION,1.9107568,COMMUNICATIONS,13F,03/31/2021,153.9316
20,BOOKING HOLDINGS INC. (PRICELINE),BKNG,N/A,140000.0,326178000.0,1.84691,3.4054,-211539.0,-60.175116,REDUCTION,0.3418393,CONSUMER DISCRETIONARY,13F,03/31/2021,1645.31
21,PINTEREST INC,PINS,N/A,4200000.0,310926000.0,1.76055,2.4819,-4459029.0,-51.495716,REDUCTION,0.7888458,COMMUNICATIONS,13F,03/31/2021,34.43
22,UBER TECHNOLOGIES INC,UBER,N/A,5600000.0,305256000.0,1.72844,N/A,5600000.0,N/A,NEW,0.3013174,CONSUMER DISCRETIONARY,13F,03/31/2021,54.51
23,HILTON WORLDWIDE HOLDINGS INC,HLT,N/A,2500000.0,302300000.0,1.71171,1.7445,-1104990.0,-30.65168,REDUCTION,0.9005511,CONSUMER DISCRETIONARY,13F,03/31/2021,95.14
24,ATLASSIAN CORP PLC,TEAM,N/A,1400000.0,295064000.0,1.67073,2.0531,-618387.0,-30.637682,REDUCTION,1.0592976,INFORMATION TECHNOLOGY,13F,03/31/2021,223.55
25,AUTODESK  INC.,ADSK,N/A,1050000.0,291008000.0,1.64777,N/A,1050000.0,N/A,NEW,0.4781589,INFORMATION TECHNOLOGY,13F,03/31/2021,277.15
26,HYATT HOTELS CORP,H,N/A,3475000.0,287383000.0,1.62724,1.1384,-50000.0,-1.41844,REDUCTION,8.8509701,CONSUMER DISCRETIONARY,13F,03/31/2021,62.08
27,STARBUCKS CORP.,SBUX,N/A,2500000.0,273175000.0,1.54679,N/A,2500000.0,N/A,NEW,0.2123503,CONSUMER DISCRETIONARY,13F,03/31/2021,109.27
28,US FOODS HOLDING CORP,USFD,N/A,6850000.0,261122000.0,1.47855,N/A,6850000.0,N/A,NEW,3.0984434,CONSUMER DISCRETIONARY,13F,03/31/2021,38.12
29,NETEASE INC ADR,NTES,N/A,2500000.0,258150000.0,1.46172,N/A,2500000.0,N/A,NEW,0.3617822,COMMUNICATIONS,13F,03/31/2021,103.26
30,TEXAS ROADHOUSE INC  CLASS A,TXRH,N/A,2666000.0,255776000.0,1.44828,1.2578,-1034000.0,-27.945946,REDUCTION,3.8293905,CONSUMER DISCRETIONARY,13F,03/31/2021,62.82
31,STARBUCKS CORP.,SBUX,CALL,2200000.0,240394000.0,1.36118,N/A,2200000.0,N/A,NEW,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
32,FACEBOOK INC,FB,CALL,800000.0,235624000.0,1.33417,N/A,800000.0,N/A,NEW,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
33,ADVANCE AUTO PARTS  INC.,AAP,N/A,1275000.0,233950000.0,1.32469,1.8937,-1489230.0,-53.875039,REDUCTION,1.9459707,CONSUMER DISCRETIONARY,13F,03/31/2021,149.25
34,GARTNER  INC.,IT,N/A,1275000.0,232751000.0,1.3179,1.1844,-425000.0,-25.0,REDUCTION,1.4370804,INFORMATION TECHNOLOGY,13F,03/31/2021,125.29
35,BILL.COM HOLDINGS  INC.,BILL,N/A,1550000.0,225525000.0,1.27699,N/A,1550000.0,N/A,NEW,1.8837618,INFORMATION TECHNOLOGY,13F,03/31/2021,145.5
36,CROWDSTRIKE HOLDINGS INC,CRWD,N/A,1200000.0,219012000.0,1.24011,0.691,450000.0,60.0,ADDITION,0.6146051,INFORMATION TECHNOLOGY,13F,03/31/2021,200.8288
37,FERRARI N.V.,RACE,N/A,1025000.0,214512000.0,1.21463,0.5241,500000.0,95.238095,ADDITION,0.5548101,CONSUMER DISCRETIONARY,13F,03/31/2021,173.3751
38,NETFLIX INC,NFLX,CALL,400000.0,208664000.0,1.18151,N/A,400000.0,N/A,NEW,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
39,ALIGN TECHNOLOGY INC,ALGN,N/A,375000.0,203074000.0,1.14986,0.8716,0.0,0.0,N/A,0.4738874,HEALTH CARE,13F,03/31/2021,327.36
40,ACTIVISION BLIZZARD INC,ATVI,CALL,2000000.0,186000000.0,1.05318,N/A,2000000.0,N/A,NEW,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
41,FAIR ISAAC CORP,FICO,CALL,350000.0,170118000.0,0.963256,N/A,350000.0,N/A,NEW,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
42,ATLASSIAN CORP PLC,TEAM,CALL,800000.0,168608000.0,0.954706,N/A,800000.0,N/A,NEW,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
